Model,ReasoningError%,InfoIncomplete%
gpt_o1,91.77,8.23
gpt_o1_rag,95.33,4.67
Gemini_Pro1,94.85,5.15
Gemini_Pro1_rag,97.53,2.47
deepseek,98.17,1.83
deepseek_rag,99.3,0.7
llama,64.07,35.93
llama_rag,68.32,31.68
gpt_4o,99.49,0.51
gpt_4o_rag,99.46,0.54
gemini_1.5_pro,98.77,1.23
gemini_1.5_pro_rag,99.37,0.63
qwen,99.73,0.27
qwen_rag,98.77,1.23
Llava,81.5,18.5
Llava_rag,52.43,47.57
Llama_3.2_vision,39.81,60.19
Llama_3.2_vision_rag,54,46
qwen2_vl,99.63,0.37
qwen2_vl_rag,99.73,0.27
claude_sonnet,98.56,1.44
claude_sonnet_rag,98.87,1.13
claude_3.5,99.57,0.43
claude_3.5_rag,99.6,0.4
